TIENDAS,HOSTNAME,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
AEROPUERTO TERMINAL 2 SERVIDOR PIER27,SVRASURCUNT2,BDVL0S2,DELL OptiPlex 3060 Micro,W11,I5-8400T,SSD 250 GB,16 GB DRR4 SODIMM 
AEROPUERTO TERMINAL 3 SERVIDOR PIER27,SVRASURCUNT3,YJ01Q73W,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
H10 PTO MORELOS (ocean coral & turquesa) TAB SERVIDOR,SVRH10PTOM,YJ01Q29G,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
H10 PTO MORELOS TAB CAJA1,H10PTOMCAJA1,YJ01Q1G2,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
H10 PTO MORELOS TAB CAJA2,H10PTOMCAJA2,YJ01Q1D5,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
(NO) HAVEN HIPOTELS Amiani SERVIDOR,SVRHIPOTELS,95L9CM2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB DRR4 SODIMM
HAVEN HIPOTELS Amiani Caja,RIVHAVHIPA01,95H8CM2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,8 GB DRR4 SODIMM
HAVEN HIPOTELS SUNGLASSCHIC,RIVHAVHIPS01,DCQDHK2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,16 GB DRR4 SODIMM
ROYALTON RIV MUL SERVIDOR,SVRROYALTON,MJ0FF9F3,LENOVO M70q Desktop,W11,I5-10400T,SSD 500 GB,32 GB DRR4 SODIMM
ROYALTON RIV MUL CAJA1,ROYSIPATCJ1,YJ01Q1Z2,NEO 50q Gen4,w11,I5-13420H,NVME 512 GB,16 GB DRR4 SODIMM
ROYALTON RIV MUL CAJA2,SIPATRONCAJA2,MJ03VEH7,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,16 GB DDR3 DIMM
ROYALTON RIV MUL CAJA3 PIER27,ROYPIERCJ3,JGHLQP2,DELL OPTIPLEX 7050 MINI,W11,i5-7500T,NVME 480 GB,16 GB SODIMM
ROYALTON RIV MUL CAJA 5 PIER27,POS-MX25-RYT01,DRS8ND4,DELL PRO MICRO QCM1250,W11, i5-14500T,NVME 480 GB,16 GB SODIMM
ROYALTON RIV MUL CAJA4 AMIANI,RoyAmianiCaja4,MJ03XMTQ,LENOVO M800 Desktop,W10,i5-6400 ,SSD 120 GB,16 GB DDR3 DIMM
ROYALTON RIV JOY CAJA,RIVROYRIVJC1,MJ03VEH4,LENOVO M800 Desktop ,W10,i5-6400 ,SSD 500 GB ,24 GB DDR3 DIMM
ROYALTON RIV PLAYA PIER27  SERVIDOR,SVRROYPY,YJ01VP9Z,LENOVO Neo 50q Gen 4 ,W11,I5-13420H,SSD 500 GB ,16 GB DDR3 DIMM
ROYALTON SPLASH RIV BOARDWALK SERVIDOR,SVRRYTSPL,HM5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
ROYALTON SPLASH RIV BOARDWALK CAJA,RIVROYSPLM01,1R5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
ROYALTON SPLASH RIV BOARDWALK AMIANI CAJA 3,RIVROYSPLMC3,YJ01YBZ6,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
ROYALTON SPLASH RIVIERA BOARDWALK RECEPTOR,RIVROYSPLR,MJ02T0DG,LENOVO M83 Desktop,W10,i5-4460,SSD 240 GB,16 GB DDR3 DIMM
ROYALTON SPLASH RIV JOYERIA,RIVROYSPLJ01,YJ01VMLA,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
*ROYALTON SPLASH RIVIERA EL CORAZON SERVIDOR,SVRRYTSPLCZ,CN5S5S4,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
ROYALTON SPLASH RIVIERA EL CORAZON CJ1,ROYCORAZONCJ1,98DYRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,8 GB SODIMM
*ROYALTON SPLASH RIVIERA PIER 27 SERVIDOR,SVRRYTSPL27,2Q5S5S3,DELL OptiPlex 7000 Micro,w11,I5-12500T,NVME 500 GB,16 GB RAM
HARDROCK HACIENDAS PIER27 SERVIDORx,RHPSVR,MJ0FF9F2,LENOVO M70q Desktop,W11,I5-10400T,NVME 250 GB,16 GB DRR4 SODIMM
HARDROCK HACIENDAS PIER27 CAJA 1x,RIVHRDHDATC1,DCNMHK2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB ,16 GB DRR4 SODIMM
HARDROCK HACIENDAS PIER27 CAJA 2x,RIVHRDHDATC2,7TYK8X2,DELL OptiPlex 7060 Micro,W11,I5-8500T,SSD 500 GB ,16 GB DRR4 SODIMM
HARDROCK HACIENDAS MARINI,RIVHRDHDAJC1,MJ0HNWV8,LENOVO M70q Gen 2,W11,I5-11400T,SSD 500 GB ,16 GB DRR4 SODIMM
*HARDROCK HACIENDAS AMIANI SERVIDOR,RHASVR,MJ0FF9EL,LENOVO M70q Desktop,W11,I5-10400T,NVME 500 GB,16 GB DRR4 SODIMM
HARDROCK HEAVEN JOYERIA SERVIDOR,RRASVR,MJ03VEGL,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DIMM
HARDROCK HEAVEN AMIANI CAJA,RIVHARDHEAAC1,67DPRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
HARDROCK HEAVEN PIER27 SERVIDOR,RRPSVR,4J20GT3,LENOVO OptiPlex 3000 Micro,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
HARDROCK HEAVEN PIER27 CAJA 1,RIVHRDHEAPC1,FF20GT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
HARDROCK HEAVEN PIER27 CAJA 2,RIVHRDHEAPC2,JQZXRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
UNICO SERVIDOR,UNICOSVR,MJ0FF9H1,LENOVO M70q Desktop,W11,I5-10400T,SSD 250 GB,16 GB DRR4 SODIMM
UNICO CAJA 1,RIVUNICOMC1,MJ03VEJ7,LENOVO M800 Desktop,W10,I5-6400,SSD 120 GB ,8 GB DIMM
UNICO JOY,JOYUNICO,1T856Q2,DELL Vostro 3470,W10,I5-8400,HDD 1 TB ,8 GB DIMM
UNICO PIER27 VIVA MEXICO SERVIDOR,RIVUNIVMEPSVR,YJ01J6Q5,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
SIRENIS MULTI SERVIDOR ,RIVSIRENIMSVR,YJ01HF9S,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
SIRENIS MULTI CAJA,RIVSIRENIMC01,YJ01J6MK,LENOVO Neo 50q Gen 4 ,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
*SIRENIS TDA DE PLAYA SERVIDOR,RIVSIRENIPSVR,YJ01HFFV,LENOVO Neo 50q Gen 3,W10,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
SIRENIS CARRETA,RIVSIRENIPC02,YJ01MADE,LENOVO Neo 50q Gen 4 ,,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
*PALMAR BEACH PIER27,RIVPALBEAPSVR,5PJ7Z24,DELL OptiPlex Micro 7010,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
PALMAR BEACH AMIANI,RIVPALBEAASVR,6XM7Z24,DELL OptiPlex Micro 7010,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
PALMAR BEACH ALBERCA,RIVPALBEAESVR,,,,,,
SIRENIS VIVA MEXICO SERVIDOR,RIVSIRENIVSVR,YJ01HF8T,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
SIRENIS VIVA MEXICO CAJA,RIVSIRENIVC01,YJ01PALW,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PARAISO LA BONITA,SVR-MX25-PLB01,YJ01ZKFG,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
