RAZON_SOCIAL,TIENDAS,HOSTNAME,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
PTO85,HYATT CABOS PIER 27 PLAYA,CABHYATTCPC1,3D7G9N2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,12 GB SODIMM
PTO85,HYATT CABOS TAB CAJA 2 (ANTES JOYERÍA),CABHYATTCJC1,MJ03XGPX,LENOVO M800,W10,I5-6400,SSD 120 GB,16 GB DIMM
PTO85,JW MARRIOT LOS CABOS,SVRJWMCBOS,YJ01PAPF,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,LE BLANC CABOS SERVIDOR,SVRLEBLANCCAB,3NDWHK2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB SODIMM
PTO85,LE BLANC CABOS TAB CAJA PIER27,CABLEBLANEC01,MJ05H4H1,LENOVO M710q,W10,I3-7100T,SSD 250 GB,12 GB SODIMM
PTO85,LE BLANC CABOS JOY CAJA (fini-amiani),CABLEBLANJ01,MJ05M20V,LENOVO M710q,W10,I3-7100T,SSD 250 GB,12 GB SODIMM
PTO85,LE BLANC CABOS TAB RECEPT,CABLEBLANRCP,,,,,,
PTO85,PALLADIUM VALLARTA pier27 SERVIDOR,SVRPVALLARTA,YJ01VN75,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,PALLADIUM VALLARTA pier27 CAJA,PALLVALLPC01,8D3C0Q2,DELL OptiPlex 7050 Micro,w10,i5-7500T,SSD 500 GB,8 GB SODIMM
PTO85,RIU MAZATLAN,SVRRIUMAZ,MJ0FQCKZ,LENOVO M70q,W10,I5-10500T,SSD 500 GB,16 GB SODIMM
PTO85,LAPTOP DE TIENDA,,,,,,,
PTO85,AEROPUERTO T2 CABOS CORONASHOP,SVRSJDT2SC,MJ0FF9F1,LENOVO M70q,W11,I5-10400T,NVME 500 GB,16 GB SODIMM
PTO85,HARDROCK VALLARTA PIER27 SERVIDOR,SVRHVP,MJ0KMW87,LENOVO M70q Gen 3,W11,I5-12400T,SSD 250 GB,16 GB SODIMM
PTO85,HARDROCK VALLARTA PIER27 CAJA 1,HRVCAJA1,MJ0KMW89,LENOVO M70q Gen 3,W11,I5-12400T,SSD 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS ALMACEN,CABHRDRCKALM,MJ0KMW84,LENOVO M70q Gen 3,W11,I5-12400T,SSD 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS PIER27 PLAYA SERVIDOR,CABHRDRCKISVR,MJ0KMGZD,LENOVO M70q Gen 3,W11,I5-12400T,NVME 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS VIVA MEXICO SERVIDOR,CABHRDRCKESVR,MJ0KMGXQ,LENOVO M70q Gen 3,W11,I5-12400T,NVME 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS JOYERIA SERVIDOR,CABHRDRCKJSVR,MJ0KMGX4,LENOVO M70q Gen 3,W11,I5-12400T,SSD 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS MULTI SERVIDOR,CABHRDRCKMSVR,MJ0KMGWJ,LENOVO M70q Gen 3,W11,I5-12400T,NVME 250 GB,16 GB SODIMM
PTO85,HARDROCK CABOS MULTI CAJA,CABHRDRCKMC02,MJ0KMGZ0,LENOVO M70q Gen 3,W11,I5-12400T,NVME 250 GB,16 GB SODIMM
PTO85,SANDOS FINISTERRA SERVIDOR,CABSANFINMSVR,YJ01HFXC,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,Angélica Sandoval,,,,,,,
PTO85,Adanelida Flores,GTE-AFLORESLEN,,,,,,
PTO85,ALMACEN CABOS,CABALM01,YJ01PANL,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,ALMACEN CABOS,CABALM02,YJ01PAPB,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,Salvador Rodriguez,ALM-SRODRIGUEZ,,,,,,
PTO85,UNICO VALLARTA MULTI SERVIDOR,SVR-MX25-UVM01,YJ01VN2F,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,PALLADIUM VALLARTA CAJA NEW,PALLVALLPC01,YJ01VN75,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM
PTO85,SOLARIS LIGHTHOUSE,SVR-MX25-GSL01,YJ02C0XJ,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB SODIMM 3200MHZ DDR4
PTO85,ROYAL SOLARIS LOS CABOS SERVIDOR,SVR-MX25-RSL01,F9P8ND4,DELL Pro Micro QCM1250,W11,i5-14500T,NVME 500 GB,16 GB SODIMM 5600MHZ DDR5
PTO85,ROYAL SOLARIS LOS CABOS CAJA 1,DSK-MX25-RSL02,YJ026PH2,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
PTOHSRD,H10 Ocean Blue Lobby,SVRMH10O,MJ0FF9ES,LENOVO M70q Desktop,W10,I5-10400T,NVME 500 GB,16 GB DRR4 SODIMM
PTOHSRD,H10 Ocean Blue Multi Caja 1,DOMH10BLUEC1,MJ0FG3CK,LENOVO M70q Desktop,W11,I5-10400T,NVME 500 GB,8 GB DRR4 SODIMM
PTOHSRD,H10 Ocean Blue Lobby Caja 2,DOMH10BLUEC2,MJ0FF9E0,LENOVO M70q Desktop,W10,I5-10400T,SSD 500 GB,16 GB DRR4 SODIMM
PTOHSRD,H10 OCEAN BLUE PLAYA SERVIDOR,SVR-RD25-HPA01,MZ000Q4L,LENOVO IdeaCentre 3 07IRB8,W11,I5-14400,NVME 1 TB,16 GB DIMM
PTOHSRD,H10 Ocean Blue Riddim SERVIDOR,HORSVR,MJ0GHWQN,LENOVO M75q Gen 2,W10,RYZEN 5 PRO 4650GE,250 GB,8 GB
PTOHSRD,H10 EL FARO SERVIDOR,SVRMHFA,MJ0FF9EV,LENOVO M70q Desktop,W10,I5-10400T,NVME 500 GB,8 GB DRR4 SODIMM
PTOHSRD,H10 EL FARO CAJA 1,DOMH10FARMC1,,,,,,
PTOHSRD,H10 EL FARO CAJA 2,DOMH10FARMC2,498BPK3,DELL OptiPlex 7090,W11,I5-10505,SSD 500 GB,8 GB DIMM
PTOHSRD,PALLADIUM PALACE MULTI SERVIDOR,SVRPLDPCPAL,1YNGJ13,DELL OptiPlex 7070 Micro,W10,I5-9500T,SSD 500 GB,16 GB DRR4 SODIMM
PTOHSRD,PALLADIUM PALACE MULTI CAJA,DOMPLDPCPALMC1,MJ02N06F,LENOVO M83,W10,I5-4460,HDD 500 GB,8 GB DDR3 DIMM
PTOHSRD,PALLADIUM PALACE MULTI ALMACEN,DOMPLDPCPALALM,,,W10,I5-4460,HDD 500 GB,8 GB DDR3 DIMM
PTOHSRD,PALLADIUM BAVARO AMIANI SERVIDOR,SVRPLDPCBAV,,,,,,
PTOHSRD,PALLADIUM PALACE ALMACEN,,,,,,,
PTOHSRD,PALLADIUM BAVARO MULTI SERVER,SVRPLDPCAMI,,,,,,
PTOHSRD,PALLADIUM BAVARO M1,Pallbavmultic1,,,,,,
PTOHSRD,PALLADIUM BAVARO ALMACEN,,,,,,,
PTOHSRD,PALLADIUM BAVARO ALBERCA PLAYA,SVR-RD25-PPA,YJ026PB0,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
PTOHSRD,PRINCESS BAVARO MULTI SERVER NUEVO,SVRPRINBAVMUL,MJ0KWNAR,LENOVO IdeaCentre Mini 01IRH8,W11,I5-13500H,NVME 500 GB,16 GB DRR4 SODIMM
PTOHSRD,PRINCESS BAVARO RD MULTI caja1 (ANTES RIDDIM),DOMPRNBV0TC2,MJ0GHWQY,LENOVO M75q Gen 2,W11,AMD Ryzen 5 PRO 4650GE,240 SSD,8 GB SODIMM
PTOHSRD,PRINCESS BAVARO RD MULTI caja 1,DOMPRNBAVMC1,,,,,,
PTOHSRD,PRINCESS BAVARO RD MULTI caja 2,DOMPRNBAVMC2,MJ0FG3CM,LENOVO M70q,W11,I5-10400T,NVME 500 GB,8 GB SODIMM
PTOHSRD,PRINCESS BAVARO RD JOY,DOMPRNBAVMJOYC1,8FQCLM3,DELL OptiPlex 7090,W11,I5-10505,NVME 250 GB,8 GB DIMM
PTOHSRD,PRINCESS BAVARO RIDDIM SERVIDOR,DOMPRNBVORSVR,MZ004RZF,LENOVO IdeaCentre 3 07IRB8,W11,I5-14400,NVME 1 TB,16 GB DIMM
PTOHSRD,PRINCESS BAVARO RD RIDDIM,DOMPRNBV0TC1,BGSM8X2,DELL OptiPlex 3060 Micro,W11,I5-8400T,HDD 1 TB,8 GB SODIMM
PTOHSRD,PRINCESS BAVARO RD PLAYA PIER27 SVR,SVRPRINBAVPYA,B3PQ9W2,DELL OptiPlex 3060 Micro,W10,I5-8400T,SSD 500 GB,8 GB SODIMM
PTOHSRD,PALLADIUM BAVARO ALMACEN,,,,,,,
PTOHSRD,ROYALTON BAVARO BOARDWALK Servidor,SVRRYTBVB,J4SJ5S3,DELL OptiPlex 7000 Small Form Factor,W11,I5-12500,NVME 500 GB,16 GB DIMM
PTOHSRD,Royalton Bavaro Boardwalk Caja,DOMROYBAVJC1,47SJ5S3,DELL OptiPlex 7000,W11,I5-12500,NVME 500 GB,
PTOHSRD,Royalton Bavaro CJ2 Pier27 Server,SVRRYTBVP27,G5SJ5S3,DELL OptiPlex 7000 Small,W11,I5-12500,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC VIVA SERVIDOR,SVR-RD25-HRV01,J01ZK7A,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC VIVA CAJA 1,DSK-RD25-HRV01,J01ZK5L,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC ALBERCA 1,SVR-RD25-HRA01,J01ZK42,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC ALBERCA 2,SVR-RD25-HRB01,YJ026PHN,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC ALBERCA 3,SVR-RD25-HRC01,YJ026PGM,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC SPLASH,SVR-RD25-HRS01,YJ026P5H,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC MULTI,SVR-RD25-HRM,YJ026PBS,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC MULTI CAJA 1,POS-RD25-HRM01,YJ026Q3W,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,HARD ROCK PC MULTI CAJA 2,POS-RD25-HRM02,YJ026PFP,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
PTOHSRD,HARD ROCK PC BODEGA,ALM-RD25-HRL01,YJ026PSN,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PTOHSRD,MOON PALACE RD GOLF,SVR-RD26-PPR01,YJ0256WS,Lenovo ThinkCentre Neo 50Q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DIMM
PELTJAM,H10 JAMAICA (CORAL SPRINGS) SERVIDOR M02,SVRH10J,B4ST9W2,DELL OptiPlex 3060 Micro,W10,I5-8400T,SSD 500 GB,16 GB SODIMM
PELTJAM,H10 JAMAICA CAJA M03,JAMH10JAMTC2,B2PR9W2,DELL OptiPlex 3060 Micro,W11,I5-8400T,SSD 500 GB,8 GB SODIMM
PELTJAM,H10 JAMAICA CAJA M01,JAMH10TCJ1,B4XS9W2,DELL OptiPlex 3060 Micro,W11,I5-8400T,SSD 500 GB,8 GB SODIMM
PELTJAM,MOON PALACE GRAND JAMAICA SERVIDOR,SVRMOONJAM,7B4JRR2,DELLOptiPlex 3060 Micro,W10,I5-8500T,SSD 500 GB,16 GB SODIMM
PELTJAM,MOON PALACE CAJA NUEVA,MOONPALACECJ,8CC9242F2W,HP Pavilion All-in-One - 24-xa0032,W11,I5-9400T,NVME 500 GB,12 GB SODIMM
PELTJAM,MOON PALACE BODEGA,JAM-DCMB2,8CC9242F27,,W10,I5-9400T,SSD 500 GB,12 GB SODIMM
PELTJAM,RIU MONTEGO BAY MULTI,SVRRIUMONTEGO,71PGJ13,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU MONTEGO BAY MULTI CAJA,MontegoBayC2,JX86R23,DELL OptiPlex 7070 Micro,W11,I5-9500T,HD 1 TB,8 GB SODIMM
PELTJAM,RIU PALACE JAMAICA,SVRRIUPALACE,6Y86R23,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU OCHO RIOS SERVDOR,SVRRIUOCHORIOS,CLNZ833,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU OCHO RIOS CAJA,JAMRIU8RIOM01,6LNZ833,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU OCHO RIOS RECEPTOR,,,,,,,
PELTJAM,RIU REGGAE SERVIDOR,SVRRIUREGGAE,11PGJ13,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIM
PELTJAM,RIU REGGAE CAJA,JAMRIURGEIC02,YJ01HESZ,LENOVO Neo 50q Gen 4,W11,I5-1342H,NVME 500 GB,16 GB SODIM
PELTJAM,RIU TROPICAL BAY MULTI,SVRRIUTROPICAL,DY86R23,DELL OptiPlex 7070 Micro,W10,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,ROYALTON BLUE WATERS,SVRROYBW,BFCH0S2,DELL OptiPlex 3060 Micro,W11,I5-8400T,SDD 500 GB,16 GB SODIMM
PELTJAM,ROYALTON BLUE WATERS CAJA,JAMROYBWCJ2,8CC9242FWD,HP Pavilion All-in-One - 24-xa0032,W11,I5-9400T,NVME 500 GB,12 GB SODIMM
PELTJAM,ROYALTON NEGRIL SERVIDOR,SVRROYNEGRIL,MJ03VEGG,LENOVO M800,W10,I5-6400,SSD 500 GB,24 GB DIMM
PELTJAM,ROYALTON NEGRIL RECEPTOR,NegrilJamCj2,7B4DRR2,DELL OptiPlex 3060 Micro,W11,I5-8500T,SSD 500 GB,8 GB SODIMM
PELTJAM,ROYALTON NEGRIL CAJA,NegrilJamCj,MJ03V9LD,LENOVO M800,W10,I5-6400,HDD 3.6 TB,8 GB DIMM
PELTJAM,ROYALTON WHITE SANDS SERVIDOR,SVRROYWTESANDS,MJ02T02B,LENOVO M83,W10,I5-4460,SSD 500 GB,12 GB DDR3 DIMM
PELTJAM,ROYALTON WHITE SANDS CAJA,WhitesandsCj1,,,,,,
PELTJAM,RIU CLUB NEGRIL RIDDIM,SVRRIUCLUB,4Y86R23,DELL OptiPlex 7070 Micro,W11,I5-9500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU CLUB NEGRIL RIDDIM CAJA,RIUCLUBRDDIMC1,YJ01PBEX,LENOVO Neo 50q Gen 4,W11,I5-1342H,NVME 500 GB,16 GB SODIMM
PELTJAM,RIU CLUB NEGRIL BOARDWALK,SVRRCLNBOW,B34W9W2,DELL OptiPlex 3060 Micro,W10,I5-8400T,SSD 500 GB,16 GB SODIMM
PELTJAM,RECEPTOR CLUB NEGRIL,,,,,,,
PELTJAM,Riu Club Negril Almacen (JAMRICNGLALM),JAMRICNGLALM,,,,,,
PELTJAM,CEDIS Montego Bay Jamaica,AM-DCMB2,,,,,,
PELTJAM,RIU AQUARELLE AMIANI,JAMRIUAQUAMI,2D7S704,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,RIU AQUARELLE PIER27,JAMRIUAQUPIE,2JRTG04,DELL OptiPlex Micro 7010,W11,I5-13500T,SSD 500 GB,16 GB SODIMM
PELTJAM,RIU AQUARELLE PIER27 CAJA 1,JAMRIUAQUTC1,1LFZG04,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY ADULTOS SERVIDOR (MULTI),JAMPRINCEPSVR,GQ8S704,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY ADULTOS CAJA,JAMPRINCEPC01,HDBKNZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY FAMILIAR SERVIDOR,JAMPRINCEESVR,4CPNG04,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,PRINCESS JAMAICA PIER27 LOBBY FAMILIAR CAJA,JAMPRINCEEC01,,,,,,
PELTJAM,PRINCESS JAMAICA AMIANI SERVIDOR,JAMPRINCEASVR,1MHKNZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,16 GB SODIMM
PELTJAM,Natesha Young,JAM-AFERGUSONHP,---,---,--,---,---,---
PELTJAM,IBEROSTAR JAMAICA AMIANI SERVIDOR,SVR-JM25-IJA01,YJ01VN52,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
PELTJAM,IBEROSTAR JAMAICA MULTI SERVIDOR,SVR-JM25-IJM01,MZ01LF3S,Lenovo ThinkCentre M70q Gen 5,W11,i5-14400T,NVME 500 GB,16 GB DDR4 SODIMM
PELTJAM,IBEROSTAR JAMAICA MULTI CAJA,POS-JM25-IJM01,YJ01VMY8,Lenovo ThinkCentre neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DDR4 SODIMM
PELTJAM,IBEROSTAR JAMAICA PIER 27 SERVIDOR,SVR-JM25-IJP01,YJ01VN22,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIMM
OHSGRLTD,ROYALTON GRENADA PIER27 SERVIDOR,SVRROYGRENADA,YJ01YBT9,LENOVO THINKCENTRE NEO 50Q GEN 4 12LM MINI CPU,W11,13th Gen Intel(R) Core(TM) i5-13420H (2.10 GHz),NVME 480 GB,16 GB DDR4 3200 MHz SODIMM
OHSGRLTD,ROYALTON VESSENCE BARBADOS SERVIDOR,SVR-BB26-RVB01,YJ02N27R,LENOVO THINKCENTRE NEO 50Q GEN 5,W11,Intel core i5 210h,NVME 512 GB,16 GB
OHSGRLTD,EQUIPO DE STOCK ROYALTON VESSENCE BARBADOS,NA,9FP8ND4,DELL PRO MICRO QCM1250,W11,Intel core i5-14500T,NVME 512 GB,16 GB
OHSXCD,ROYALTON STA LUCIA,SVRROYSTALUCIA,JGJQQP2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB SODIMM
OHSXCD,ROYALTON STA LUCIA Caja 2 (M02),DESKTOP-TCG7RTG,JGKMQP2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,8 GB SODIMM
OHSXCD,ROYALTON STA LUCIA Caja 3 (M01),HS-SERVER-PC,,,w7,corei5 6gen,HDD 500GB,8gb
OHSXCD,ROYALTON STA LUCIA AMIANI,StaLuciaCaja,MJ03VEFM,LENOVO M800,W10,I5-6400,HDD 500GB,8 GB DIMM
